id,title,url,description
1,Справка по дому,/districts-info/building-id/{id},Районная справка
2,Справка по дому,/districts-info/district/,Районная справка
3,Справка по дому,/disconnections/test/,Отключение горячей воды и электроэнергии (найти все дома с отключениями) с текущей даты
4,Справка по дому,/disconnections/bot/,Отключение горячей воды и электроэнергии (для бота уведомлений)
5,Справка по дому,/disconnections/,Отключение горячей воды и электроэнергии
6,Школы: Запись в первые классы,/school/scheme/,Актуальная схема (scheme)
7,Школы: Запись в первые классы,/school/kind/,Вид организации
8,Школы: Запись в первые классы,/school/profile,/Справочник по Профилям
9,Школы: Запись в первые классы,/school/map/,Метод для карты
10,Школы: Запись в первые классы,/school/{id},Объекты раздела Школы
11,Школы: Запись в первые классы,/school/stat/,"Метод статистики, (только для scheme=1) возвращающий данные по свободным местам в 1-х классах"
12,Школы: Запись в первые классы,/school/commissions/,Метод по Конфликтным комиссиям
13,Школы: Запись в первые классы,/school/subject/,Справочник по специализациям
14,Школы: Запись в первые классы,/school/helpful/,Полезное
15,Школы: Запись в первые классы,/school/available-spots/district/,Общая сумма свободных мест в школах в указанном районе г.Санкт-Петербург
16,Школы: Запись в первые классы,/school/linked/{building_id},Общая сумма свободных мест в школах в указанном районе г.Санкт-Петербург
17,Экология,/api/v2/external/recycling/nearest,Возвращает данные по мусоросборкам (предыдущая версия)
18,Экология,/api/v2/recycling/map/,[Карта] Возвращает все пункты сбора по фильтрам
19,Экология,/api/v2/recycling/map/{id},[Карта] Возвращает по id все данные о пункте
20,Экология,/api/v2/recycling/map/category/,[Карта] Возвращает категории и индетификаторы
21,Экология,/api/v2/recycling/map/counts/,[Карта] Возвращает количество пунктов по категориям
22,Данные из Госстрой,/gosstroy/map/,Плановые работы для отображения на карте
23,Данные из Госстрой,/gosstroy/{id},Плановые работы по id
24,Данные из Госстрой,/gosstroy/type/,Объект работ
25,Данные из Госстрой,/gosstroy/category/,Категория работ
26,Данные из Госстрой,/gosstroy/status/,Статус работ
27,Данные из Госстрой,/gosstroy/assignment/,Отношение работ
