"id","region","category","name","phones","add_phone"
"1","Адмиралтейский","Аварийно-диспетчерские службы","Дежурный помощник главы администрации","+7(812)3160050",""
"2","Адмиралтейский","Аварийно-диспетчерские службы","Повреждения водопроводной уличной сети (холодная вода)","+7(812)3050909",""
"3","Адмиралтейский","Аварийно-диспетчерские службы","Повреждения водопроводной уличной сети (горячая вода)","+7(812)3151313",""
"4","Адмиралтейский","Аварийно-диспетчерские службы","Горячая линия ГУП «Водоканал Санкт-Петербурга»","+7(812)3050909",""
"5","Адмиралтейский","Аварийно-диспетчерские службы","Горячая линия ГРО «ПетербургГаз»","+7(812)6100404",""
"6","Адмиралтейский","Аварийно-диспетчерские службы","Информационный центр ГУП «ТЭК СПб»","+7(812)6019393",""
"7","Адмиралтейский","Аварийно-диспетчерские службы","Работа общественного транспорта","+7(812)5765555",""
"8","Адмиралтейский","Аварийно-диспетчерские службы","Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ","004",""
"9","Адмиралтейский","Правоохранительные органы","Телефон справочной ГУ МВД","+7(812)5732676",""
"10","Адмиралтейский","Правоохранительные органы","Дежурная часть УМВД Адмиралтейского района","+7(812)5730120",""
"11","Адмиралтейский","Правоохранительные органы","Дежурная часть ГИБДД","+7(812)2349021",""
"12","Адмиралтейский","Судебные органы","Санкт-Петербургский городской суд","+7(812)4595966",""
"13","Адмиралтейский","Судебные органы","Прокуратура Адмиралтейского района","+7(812)3101873",""
"14","Адмиралтейский","Здравоохранение","Территориальный фонд ОМС Санкт-Петербурга","+7(812)7037301",""
"15","Адмиралтейский","Здравоохранение","Горячая линия Комитета по здравоохранению","+7(812)6355577",""
"16","Адмиралтейский","Здравоохранение","Телефон доверия для взрослых, детей и подростков","+7(812)4767104",""
"17","Адмиралтейский","Здравоохранение","Наркологический телефон доверия","+7(812)7144210",""
"18","Адмиралтейский","Образование","Горячая линия Комитета по образованию","+7(812)5762019",""
"19","Адмиралтейский","Социальная защита населения","Информационно-справочная телефонная служба социальной защиты населения ","+7(812)3344144",""
"20","Адмиралтейский","Социальная защита населения","Отдел социальной защиты населения Адмиралтейского района","+7(812)5761901",""
"21","Адмиралтейский","Социальная защита населения","Горячая линия Фонда пенсионного и социального страхования","+7(800)1000001",""
"22","Адмиралтейский","Права потребителя","Территориальный отдел управления Роспотребнадзора в Адмиралтейском, Василеостровском, Центральном районах","+7(812)3166866",""
"23","Адмиралтейский","Права потребителя","Консультационный центр по защите прав потребителей","+7(812)5716200",""
"24","Василеостровский","Аварийно-диспетчерские службы","Дежурный помощник главы администрации","+7(812)3236307",""
"25","Василеостровский","Аварийно-диспетчерские службы","Информационный центр АО «Теплосеть» (город)","+7(812)6884646",""
"26","Василеостровский","Аварийно-диспетчерские службы","Информационный центр АО «Теплосеть» (Василеостровский район)","+7(812)9018301",""
"27","Василеостровский","Аварийно-диспетчерские службы","Островной район «Кабельная сеть»","+7(812)3222244,+7(800)2200220",""
"28","Василеостровский","Аварийно-диспетчерские службы","Жилищное агентство Василеостровского района","+7(812)3232038",""
"29","Василеостровский","Аварийно-диспетчерские службы","Горячая линия ГУП «Водоканал Санкт-Петербурга»","+7(812)3050909",""
"30","Василеостровский","Аварийно-диспетчерские службы","Горячая линия ГРО «ПетербургГаз»","+7(812)6100404",""
"31","Василеостровский","Аварийно-диспетчерские службы","Информационный центр ГУП «ТЭК СПб» (кол. центр)","+7(812)6019393",""
"32","Василеостровский","Аварийно-диспетчерские службы","Информационный центр ГУП «ТЭК СПб» (диспетчер ГУП «ТЭК СПб»)","+7(812)4948616",""
"33","Василеостровский","Аварийно-диспетчерские службы","Работа общественного транспорта","+7(812)5765555",""
"34","Василеостровский","Аварийно-диспетчерские службы","Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ","004",""
"35","Василеостровский","Правоохранительные органы","Справочная служба ГУ МВД","+7(812)5732676",""
"36","Василеостровский","Правоохранительные органы","Дежурная часть УМВД России по Василеостровскому району (30-й отдел полиции)","+7(812)5730414",""
"37","Василеостровский","Правоохранительные органы","Дежурная часть УМВД России по Василеостровскому району (37-й отдел полиции)","+7(812)5730529",""
"38","Василеостровский","Правоохранительные органы","Дежурная часть ГИБДД","+7(812)5730508",""
"39","Василеостровский","Судебные органы","Санкт-Петербургский городской суд","+7(812)4595966",""
"40","Василеостровский","Судебные органы","Прокуратура Василеостровского района","+7(812)3233356",""
"41","Василеостровский","Здравоохранение","Территориальный фонд ОМС Санкт-Петербурга","+7(812)7037301",""
"42","Василеостровский","Здравоохранение","Справка о наличии лекарств в городе","003","{2}"
"43","Василеостровский","Здравоохранение","Справочно-информационная служба «Здоровье города» (многоканальный)","+7(812)2461111",""
"44","Василеостровский","Здравоохранение","Управление по организации работы фармацевтических учреждений и предприятий Комитета по здравоохранению","+7(812)2466986",""
"45","Василеостровский","Здравоохранение","Горячая линия Комитета по здравоохранению","+7(812)6355577",""
"46","Василеостровский","Здравоохранение","Телефон претензий по работе городской скорой помощи","+7(812)5714504",""
"47","Василеостровский","Здравоохранение","Вызов врача на дом, запись на приём к врачу, запись на вакцинацию","122",""
"48","Василеостровский","Образование","Горячая линия Комитета по образованию","+7(812)5762019",""
"49","Василеостровский","Социальная защита населения","Информационно-справочная телефонная служба социальной защиты населения ","+7(812)3344144",""
"50","Василеостровский","Социальная защита населения","Отдел социальной защиты населения Василеостровского района","+7(812)5769387",""
"51","Василеостровский","Права потребителя","Территориальный отдел управления Роспотребнадзора в Адмиралтейском, Василеостровском, Центральном районах","+7(812)3166866",""
"52","Выборгский","Аварийно-диспетчерские службы","Дежурный помощник главы администрации","+7(812)2953146",""
"53","Выборгский","Аварийно-диспетчерские службы","Повреждения водопроводной уличной сети (холодная вода)","+7(812)3050909",""
"54","Выборгский","Аварийно-диспетчерские службы","Повреждения водопроводной уличной сети (горячая вода)","+7(812)3151313",""
"55","Выборгский","Аварийно-диспетчерские службы","Горячая линия ГУП «Водоканал Санкт-Петербурга»","+7(812)3050909",""
"56","Выборгский","Аварийно-диспетчерские службы","Горячая линия ГРО «ПетербургГаз» (со стационарного телефона)","04",""
"57","Выборгский","Аварийно-диспетчерские службы","Горячая линия ГРО «ПетербургГаз» (с мобильного телефона)","104",""
"58","Выборгский","Аварийно-диспетчерские службы","Информационный центр ГУП «ТЭК СПб»","+7(812)6019393",""
"59","Выборгский","Аварийно-диспетчерские службы","Работа общественного транспорта","+7(812)5765555",""
"60","Выборгский","Аварийно-диспетчерские службы","Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ","004",""
"61","Выборгский","Правоохранительные органы","Телефон справочной ГУ МВД","+7(812)5732676",""
"62","Выборгский","Правоохранительные органы","Дежурная часть УМВД России по Выборгскому району","+7(812)5420202",""
"63","Выборгский","Правоохранительные органы","Дежурная часть ГИБДД по Выборгскому району","+7(812)5731277",""
"64","Выборгский","Судебные органы","Санкт-Петербургский городской суд","+7(812)4595966",""
"65","Выборгский","Судебные органы","Выборгский районный суд Санкт-Петербурга","+7(812)2474848",""
"66","Выборгский","Судебные органы","Прокуратура Выборгского района","+7(812)2945626",""
"67","Выборгский","Здравоохранение","Территориальный фонд ОМС Санкт-Петербурга","+7(812)7037301",""
"68","Выборгский","Здравоохранение","Горячая линия","+7(812)3463570",""
"69","Выборгский","Здравоохранение","Справочная служба о наличии лекарств в аптеках города","+7(812)2461111",""
"70","Выборгский","Здравоохранение","Дежурная аптека","+7(812)3145401",""
"71","Выборгский","Здравоохранение","Горячая линия Комитета по здравоохранению","+7(812)6355577",""
"72","Выборгский","Здравоохранение","Телефон претензий по работе городской скорой помощи","+7(812)5714504",""
"73","Выборгский","Образование","Горячая линия Комитета по образованию","+7(812)2465548",""
"74","Выборгский","Образование","Отдел образования Выборгского района","+7(812)5765293",""
